p,q,ars
0.55,0.46,0.0
0.55,0.51,0.0
0.55,0.55,0.0
0.55,0.6,0.0
0.55,0.64,0.0
0.55,0.69,0.0
0.55,0.74,0.0
0.55,0.78,0.0
0.55,0.83,0.0
0.55,0.87,0.0
0.55,0.92,0.0
0.6,0.05,1.0
0.6,0.09,1.0
0.6,0.14,1.0
0.6,0.18,1.0
0.6,0.23,0.32471626733921816
0.6,0.28,0.0
0.6,0.32,0.0
0.6,0.37,0.0
0.6,0.41,0.029969349528890903
0.6,0.46,0.0
0.6,0.51,0.0
0.6,0.55,0.0
0.6,0.6,0.0
0.6,0.64,0.0
0.6,0.69,0.0
0.6,0.74,0.0
0.6,0.78,0.0
0.6,0.83,0.0
0.6,0.87,0.0
0.6,0.92,0.0
0.64,0.05,1.0
0.64,0.09,1.0
0.64,0.14,1.0
0.64,0.18,1.0
0.64,0.23,0.5
0.64,0.28,0.0
0.64,0.32,0.0
0.64,0.37,0.0
0.64,0.41,0.0
0.64,0.46,0.024716267339218154
0.64,0.51,0.0
0.64,0.55,0.0
0.64,0.6,0.0
0.64,0.64,0.0
0.64,0.69,0.0
0.64,0.74,0.0
0.64,0.78,0.0
0.64,0.83,0.0
0.64,0.87,0.0
0.64,0.92,0.0
0.69,0.05,1.0
0.69,0.09,1.0
0.69,0.14,1.0
0.69,0.18,1.0
0.69,0.23,1.0
0.69,0.28,0.1
0.69,0.32,0.0
0.69,0.37,0.0
0.69,0.41,0.02780736037420877
0.69,0.46,0.0
0.69,0.51,0.031176067982628806
0.69,0.55,0.0
0.69,0.6,0.0
0.69,0.64,0.0
0.69,0.69,0.0
0.69,0.74,0.0
0.69,0.78,0.0
0.69,0.83,0.0
0.69,0.87,0.0
0.69,0.92,0.0
0.74,0.05,1.0
0.74,0.09,1.0
0.74,0.14,1.0
0.74,0.18,1.0
0.74,0.23,1.0
0.74,0.28,0.8
0.74,0.32,0.2
0.74,0.37,0.0
0.74,0.41,0.024716267339218154
0.74,0.46,0.0
0.74,0.51,0.0
0.74,0.55,0.03953596728085731
0.74,0.6,0.06323005056266326
0.74,0.64,0.0
0.74,0.69,0.0
0.74,0.74,0.0
0.74,0.78,0.0
0.74,0.83,0.0
0.74,0.87,0.0
0.74,0.92,0.0
0.78,0.05,1.0
0.78,0.09,1.0
0.78,0.14,1.0
0.78,0.18,1.0
0.78,0.23,1.0
0.78,0.28,1.0
0.78,0.32,0.4
0.78,0.37,0.0
0.78,0.41,0.024716267339218154
0.78,0.46,0.0
0.78,0.51,0.0
0.78,0.55,0.0
0.78,0.6,0.03942728487222723
0.78,0.64,0.0
0.78,0.69,0.0
0.78,0.74,0.0
0.78,0.78,0.0
0.78,0.83,0.0
0.78,0.87,0.0
0.78,0.92,0.0
0.83,0.05,1.0
0.83,0.09,1.0
0.83,0.14,1.0
0.83,0.18,1.0
0.83,0.23,1.0
0.83,0.28,1.0
0.83,0.32,0.7
0.83,0.37,0.0
0.83,0.41,0.024716267339218154
0.83,0.46,0.0
0.83,0.51,0.025726379274425303
0.83,0.55,0.0
0.83,0.6,0.0
0.83,0.64,0.0
0.83,0.69,0.06446462720543225
0.83,0.74,0.0
0.83,0.78,0.0
0.83,0.83,0.0
0.83,0.87,0.0
0.83,0.92,0.0
0.87,0.05,1.0
0.87,0.09,1.0
0.87,0.14,1.0
0.87,0.18,1.0
0.87,0.23,1.0
0.87,0.28,1.0
0.87,0.32,1.0
0.87,0.37,0.1
0.87,0.41,0.0
0.87,0.46,0.0
0.87,0.51,0.0
0.87,0.55,0.025726379274425303
0.87,0.6,0.0
0.87,0.64,0.0
0.87,0.69,0.0
0.87,0.74,0.0
0.87,0.78,0.07144094040507624
0.87,0.83,0.0
0.87,0.87,0.0
0.87,0.92,0.0
0.92,0.05,1.0
0.92,0.09,1.0
0.92,0.14,1.0
0.92,0.18,1.0
0.92,0.23,1.0
0.92,0.28,1.0
0.92,0.32,1.0
0.92,0.37,1.0
0.92,0.41,0.3
0.92,0.46,0.0
0.92,0.51,0.0
0.92,0.55,0.0
0.92,0.6,0.0
0.92,0.64,0.0
0.92,0.69,0.07039312536658984
0.92,0.74,0.029969349528890903
0.92,0.78,0.025726379274425303
0.92,0.83,0.0
0.92,0.87,0.0
0.92,0.92,0.0
