p,q,ars
0.05,0.05,-0.0014544660315277424
0.05,0.09,0.0003135815979529894
0.05,0.14,-0.002459556221440319
0.05,0.18,-0.0010569602389282097
0.05,0.23,-0.0014082659975815236
0.05,0.28,-0.00047668076678948656
0.05,0.32,-0.0011005482963485416
0.05,0.37,-0.0014419684484070535
0.05,0.41,-0.0017390818492014058
0.05,0.46,-0.000965287681617567
0.05,0.51,-0.00047668076678948656
0.05,0.55,-0.00047668076678948656
0.05,0.6,-0.000965287681617567
0.05,0.64,-0.002274745155668309
0.05,0.69,-0.0025926409949264843
0.05,0.74,-0.0018041376888672405
0.05,0.78,-0.00047668076678948656
0.05,0.83,-0.0014300423003684598
0.05,0.87,-0.0009533615335789731
0.05,0.92,-0.0012876718745755181
0.09,0.05,0.07783562332144497
0.09,0.09,-0.00015400143650188026
0.09,0.14,-0.0003317543557687051
0.09,0.18,0.00040308034849502016
0.09,0.23,-0.0006904775202273021
0.09,0.28,-0.0010473386155013427
0.09,0.32,-0.00045490446400255036
0.09,0.37,-0.002515997979835433
0.09,0.41,-0.002093484405330057
0.09,0.46,-0.0014349133866115383
0.09,0.51,-0.00047668076678948656
0.09,0.55,-0.00047668076678948656
0.09,0.6,-0.000784878533773145
0.09,0.64,-0.0010915363732335432
0.09,0.69,-0.0017477288426152198
0.09,0.74,-0.0014419684484070535
0.09,0.78,-0.0019091139510365317
0.09,0.83,-0.0014419684484070535
0.09,0.87,-0.00047668076678948656
0.09,0.92,-0.00036176777089843177
0.14,0.05,0.9087611236024269
0.14,0.09,0.07785798079074112
0.14,0.14,0.0008577704205468258
0.14,0.18,-0.0005701049718045721
0.14,0.23,-0.00047467839653629466
0.14,0.28,0.0
0.14,0.32,-0.0004462052349954366
0.14,0.37,-0.0013333097701279293
0.14,0.41,-0.0014017730056411222
0.14,0.46,-0.00045490446400255036
0.14,0.51,-0.00047668076678948656
0.14,0.55,-0.0008770810658495311
0.14,0.6,-0.001615737116589117
0.14,0.64,-0.0024072561300246204
0.14,0.69,-0.0006155428434578398
0.14,0.74,-0.001425959844182037
0.14,0.78,-0.001241411023417511
0.14,0.83,-0.0007276401507117188
0.14,0.87,-0.0006884296546059013
0.14,0.92,0.001290770937220074
0.18,0.05,1.0
0.18,0.09,0.8681862603762612
0.18,0.14,0.021156450336694044
0.18,0.18,0.0012989513131062822
0.18,0.23,-0.0007649165349035823
0.18,0.28,-0.00014102899192834794
0.18,0.32,0.00028253802705910673
0.18,0.37,-0.00047668076678948656
0.18,0.41,-0.0003995257530088457
0.18,0.46,-0.0017819635979610866
0.18,0.51,-0.00038290943515304637
0.18,0.55,-0.0009649933981983364
0.18,0.6,-0.0009533615335789731
0.18,0.64,-0.0014505577695556728
0.18,0.69,-0.00047668076678948656
0.18,0.74,-0.0003792627201548223
0.18,0.78,-0.001730718814617507
0.18,0.83,-0.0002004952483557148
0.18,0.87,-0.0009710388690762602
0.18,0.92,8.824265217159251e-05
0.23,0.05,1.0
0.23,0.09,0.9731038278211364
0.23,0.14,0.609798528366895
0.23,0.18,0.01486554904713509
0.23,0.23,0.00039347027323846943
0.23,0.28,0.00207794179585688
0.23,0.32,0.0
0.23,0.37,5.655534521233986e-06
0.23,0.41,-0.0019742961302138527
0.23,0.46,-0.000881656932182412
0.23,0.51,-0.001269263533264886
0.23,0.55,-0.00047668076678948656
0.23,0.6,-0.0012729166975329284
0.23,0.64,-7.684017042340648e-05
0.23,0.69,-0.00085236374053163
0.23,0.74,-0.00021503063289944813
0.23,0.78,0.0004333672554823392
0.23,0.83,-0.0012713236297183014
0.23,0.87,5.08790721230926e-05
0.23,0.92,0.0008117978411474166
0.28,0.05,1.0
0.28,0.09,0.9799995050507551
0.28,0.14,0.9602000000000002
0.28,0.18,0.589796268333882
0.28,0.23,0.009050233999745414
0.28,0.28,0.002424435725049195
0.28,0.32,-0.00046134116004209973
0.28,0.37,0.00046532541673178606
0.28,0.41,-0.0008729721500271863
0.28,0.46,-0.000126996303618566
0.28,0.51,-0.0007650131498366589
0.28,0.55,-0.00027963033567196744
0.28,0.6,-0.0003286146157620096
0.28,0.64,-0.0010723862988783353
0.28,0.69,-0.0008411645434497197
0.28,0.74,-0.0018361350071520108
0.28,0.78,-0.0023868441868716323
0.28,0.83,-0.001219318987777641
0.28,0.87,-0.0009533615335789731
0.28,0.92,-0.0011611781905408087
0.32,0.05,1.0
0.32,0.09,1.0
0.32,0.14,1.0
0.32,0.18,0.9486511233221219
0.32,0.23,0.22041818417181877
0.32,0.28,0.008804792410028368
0.32,0.32,0.0004335001727011031
0.32,0.37,0.00011011106757838267
0.32,0.41,0.002062956525545578
0.32,0.46,-0.0008574396669487423
0.32,0.51,-0.0013757438581291474
0.32,0.55,-0.001325326483779457
0.32,0.6,0.00043377013824399653
0.32,0.64,-0.0013410157409709474
0.32,0.69,-0.0010476368208853014
0.32,0.74,-0.00047668076678948656
0.32,0.78,-0.0007231286479842293
0.32,0.83,-0.0008416819250308329
0.32,0.87,0.0006699792057861698
0.32,0.92,0.0011317593271861354
0.37,0.05,1.0
0.37,0.09,1.0
0.37,0.14,1.0
0.37,0.18,1.0
0.37,0.23,0.9234055131408863
0.37,0.28,0.4748964664077193
0.37,0.32,0.014944665220493203
0.37,0.37,5.829785415014284e-05
0.37,0.41,0.0004334369912771722
0.37,0.46,-0.0009249246025731739
0.37,0.51,-0.001269263533264886
0.37,0.55,-0.00044091921946012543
0.37,0.6,-0.0009561993595262645
0.37,0.64,-0.0015084263908433579
0.37,0.69,-8.34389435236121e-05
0.37,0.74,-0.00047668076678948656
0.37,0.78,-0.0014300423003684598
0.37,0.83,-0.0018664933650079489
0.37,0.87,-0.0011805602813534297
0.37,0.92,0.00020822813833246183
0.41,0.05,1.0
0.41,0.09,1.0
0.41,0.14,1.0
0.41,0.18,1.0
0.41,0.23,1.0
0.41,0.28,0.8550674721142087
0.41,0.32,0.12700366023439882
0.41,0.37,0.02513565018320878
0.41,0.41,-0.0011584754702651297
0.41,0.46,0.0005843450249921594
0.41,0.51,-0.0008466512502784887
0.41,0.55,-0.0005143355949826993
0.41,0.6,0.0004750507278334355
0.41,0.64,-0.0006290788615228174
0.41,0.69,-0.0009807430202607727
0.41,0.74,-0.0003649106416891101
0.41,0.78,-0.0010274572379926586
0.41,0.83,0.0011642156119772214
0.41,0.87,-0.0003304081410529816
0.41,0.92,0.0029750396818878618
0.46,0.05,1.0
0.46,0.09,1.0
0.46,0.14,1.0
0.46,0.18,1.0
0.46,0.23,1.0
0.46,0.28,0.9642096416118303
0.46,0.32,0.9372405394529943
0.46,0.37,0.27680545266371537
0.46,0.41,0.013906179123847586
0.46,0.46,0.0029592247750369065
0.46,0.51,-0.001488569378128367
0.46,0.55,-0.0013871008629863292
0.46,0.6,-0.0001980338611278295
0.46,0.64,0.0008204410626214683
0.46,0.69,-0.00020430316721406911
0.46,0.74,-0.0011638666989522814
0.46,0.78,0.0
0.46,0.83,-0.0003962913832376997
0.46,0.87,0.0006089579330966655
0.46,0.92,0.0006674300510328338
0.51,0.05,1.0
0.51,0.09,1.0
0.51,0.14,1.0
0.51,0.18,1.0
0.51,0.23,1.0
0.51,0.28,1.0
0.51,0.32,1.0
0.51,0.37,0.9087513068682739
0.51,0.41,0.5068871669095415
0.51,0.46,0.026046316898779114
0.51,0.51,0.0014507376764194202
0.51,0.55,0.0004924247222613156
0.51,0.6,0.0009761308881586269
0.51,0.64,-0.0012567634825770197
0.51,0.69,-0.00058726450940059
0.51,0.74,0.0002800606241741168
0.51,0.78,0.0015823664203201723
0.51,0.83,0.0014008579379405806
0.51,0.87,0.0020061878749486734
0.51,0.92,-0.0006207199949018699
0.55,0.05,1.0
0.55,0.09,1.0
0.55,0.14,1.0
0.55,0.18,1.0
0.55,0.23,1.0
0.55,0.28,1.0
0.55,0.32,1.0
