,agreement,ars,block_sizes,dataset_name,dataset_type,Lower bound,max_order,Number of cuts,order_best,p,percentile_orders,preprocessing_name,q,seed,unique_id
6462,50.0,0.0,"[100, 100]",sbm,graph,0.2,5969.0,50.0,3921.0,0.41,100.0,fid_mat,0.87,42.0,1589802894
6463,50.0,0.0,"[100, 100]",sbm,graph,0.2,4411.0,50.0,2635.0,0.05,100.0,fid_mat,0.83,42.0,1589802894
6464,50.0,0.009584290247454441,"[100, 100]",sbm,graph,0.4,6167.0,50.0,5496.0,0.64,100.0,fid_mat,0.6,42.0,1589802894
6465,50.0,0.0,"[100, 100]",sbm,graph,0.2,6245.0,50.0,3826.0,0.32,100.0,fid_mat,0.92,42.0,1589802894
6466,50.0,0.0,"[100, 100]",sbm,graph,0.2,8963.0,50.0,5912.0,0.92,100.0,fid_mat,0.92,42.0,1589802894
6467,50.0,0.0,"[100, 100]",sbm,graph,0.2,4570.0,50.0,2743.0,0.51,100.0,fid_mat,0.41,42.0,1589802894
6468,50.0,0.0,"[100, 100]",sbm,graph,0.4,3234.0,50.0,3103.0,0.23,100.0,fid_mat,0.51,42.0,1589802894
6469,50.0,1.0,"[100, 100]",sbm,graph,0.3,3483.0,50.0,2323.0,0.46,100.0,fid_mat,0.23,42.0,1589802894
6470,50.0,0.0,"[100, 100]",sbm,graph,0.2,5121.0,50.0,2947.0,0.32,100.0,fid_mat,0.69,42.0,1589802894
6471,50.0,0.0,"[100, 100]",sbm,graph,0.3,4996.0,50.0,3876.0,0.41,100.0,fid_mat,0.6,42.0,1589802894
6472,50.0,1.0,"[100, 100]",sbm,graph,0.4,3844.0,50.0,1403.0,0.64,100.0,fid_mat,0.14,42.0,1589802894
6473,50.0,1.0,"[100, 100]",sbm,graph,0.4,7553.0,50.0,6406.0,0.87,100.0,fid_mat,0.64,42.0,1589802894
6474,50.0,0.0,"[100, 100]",sbm,graph,0.2,6896.0,50.0,4043.0,0.83,100.0,fid_mat,0.55,42.0,1589802894
6475,50.0,0.333484749376166,"[100, 100]",sbm,graph,0.3,1420.0,50.0,1217.0,0.23,100.0,fid_mat,0.14,42.0,1589802894
6476,50.0,0.0,"[100, 100]",sbm,graph,0.4,4281.0,50.0,4125.0,0.09,100.0,fid_mat,0.83,42.0,1589802894
6477,50.0,1.0,"[100, 100]",sbm,graph,0.4,5734.0,50.0,4126.0,0.74,100.0,fid_mat,0.41,42.0,1589802894
6478,50.0,0.0,"[100, 100]",sbm,graph,0.2,4383.0,50.0,2471.0,0.55,100.0,fid_mat,0.32,42.0,1589802894
6479,50.0,0.0,"[100, 100]",sbm,graph,0.2,4172.0,50.0,3323.0,0.83,100.0,fid_mat,0.37,42.0,1589802894
6480,50.0,1.0,"[100, 100]",sbm,graph,0.3,3988.0,50.0,3740.0,0.74,100.0,fid_mat,0.37,42.0,1589802894
6481,50.0,0.0,"[100, 100]",sbm,graph,0.2,4176.0,50.0,3001.0,0.64,100.0,fid_mat,0.41,42.0,1589802894
6482,50.0,0.0,"[100, 100]",sbm,graph,0.2,1635.0,50.0,1060.0,0.23,100.0,fid_mat,0.18,42.0,1589802894
6483,50.0,0.0,"[100, 100]",sbm,graph,0.3,4905.0,50.0,3746.0,0.28,100.0,fid_mat,0.69,42.0,1589802894
6484,50.0,0.0,"[100, 100]",sbm,graph,0.4,6889.0,50.0,6220.0,0.51,100.0,fid_mat,0.87,42.0,1589802894
6485,50.0,0.0,"[100, 100]",sbm,graph,0.2,6448.0,50.0,3846.0,0.69,100.0,fid_mat,0.6,42.0,1589802894
6486,50.0,0.0009772347796441977,"[100, 100]",sbm,graph,0.4,2774.0,50.0,2240.0,0.09,100.0,fid_mat,0.46,42.0,1589802894
6487,50.0,1.0,"[100, 100]",sbm,graph,0.4,6910.0,50.0,4622.0,0.92,100.0,fid_mat,0.46,42.0,1589802894
6488,50.0,0.0006419311226073561,"[100, 100]",sbm,graph,0.3,2308.0,50.0,1559.0,0.23,100.0,fid_mat,0.23,42.0,1589802894
6489,50.0,0.0,"[100, 100]",sbm,graph,0.4,3600.0,50.0,3122.0,0.09,100.0,fid_mat,0.64,42.0,1589802894
6490,50.0,0.0,"[100, 100]",sbm,graph,0.2,3247.0,50.0,2077.0,0.14,100.0,fid_mat,0.6,42.0,1589802894
6491,50.0,0.0,"[100, 100]",sbm,graph,0.2,4385.0,50.0,3329.0,0.78,100.0,fid_mat,0.41,42.0,1589802894
6492,50.0,0.0,"[100, 100]",sbm,graph,0.2,8038.0,50.0,4949.0,0.69,100.0,fid_mat,0.92,42.0,1589802894
6493,50.0,0.0,"[100, 100]",sbm,graph,0.3,7369.0,50.0,5938.0,0.6,100.0,fid_mat,0.87,42.0,1589802894
6494,50.0,1.0,"[100, 100]",sbm,graph,0.2,3141.0,50.0,1828.0,0.92,100.0,fid_mat,0.18,42.0,1589802894
6495,50.0,-0.0024071949054781977,"[100, 100]",sbm,graph,0.4,5714.0,50.0,5077.0,0.51,100.0,fid_mat,0.64,42.0,1589802894
6496,50.0,0.0,"[100, 100]",sbm,graph,0.2,2763.0,50.0,1499.0,0.09,100.0,fid_mat,0.46,42.0,1589802894
6497,50.0,1.0,"[100, 100]",sbm,graph,0.3,3653.0,50.0,913.0,0.64,100.0,fid_mat,0.09,42.0,1589802894
6498,50.0,1.0,"[100, 100]",sbm,graph,0.4,3657.0,50.0,913.0,0.64,100.0,fid_mat,0.09,42.0,1589802894
6499,50.0,0.0,"[100, 100]",sbm,graph,0.2,4797.0,50.0,3094.0,0.55,100.0,fid_mat,0.51,42.0,1589802894
6500,50.0,-0.004766807667894866,"[100, 100]",sbm,graph,0.4,2140.0,50.0,1658.0,0.05,100.0,fid_mat,0.37,42.0,1589802894
6501,50.0,0.0,"[100, 100]",sbm,graph,0.4,3292.0,50.0,2757.0,0.05,100.0,fid_mat,0.6,42.0,1589802894
6502,50.0,0.8642193911693035,"[100, 100]",sbm,graph,0.4,6660.0,50.0,5993.0,0.74,100.0,fid_mat,0.6,42.0,1589802894
6503,50.0,0.902300603890843,"[100, 100]",sbm,graph,0.4,7635.0,50.0,6944.0,0.83,100.0,fid_mat,0.69,42.0,1589802894
6504,50.0,0.0,"[100, 100]",sbm,graph,0.3,5964.0,50.0,4715.0,0.55,100.0,fid_mat,0.64,42.0,1589802894
6505,50.0,0.0,"[100, 100]",sbm,graph,0.3,1296.0,50.0,1085.0,0.05,100.0,fid_mat,0.28,42.0,1589802894
6506,50.0,0.0038556240383019157,"[100, 100]",sbm,graph,0.3,1158.0,50.0,700.0,0.14,100.0,fid_mat,0.09,42.0,1589802894
6507,50.0,0.0,"[100, 100]",sbm,graph,0.2,3447.0,50.0,2198.0,0.37,100.0,fid_mat,0.41,42.0,1589802894
6508,50.0,0.0,"[100, 100]",sbm,graph,0.2,6263.0,50.0,4085.0,0.41,100.0,fid_mat,0.92,42.0,1589802894
6509,50.0,0.0,"[100, 100]",sbm,graph,0.4,7583.0,50.0,6923.0,0.69,100.0,fid_mat,0.83,42.0,1589802894
